Name,Ratings,Header,Date,Product_Details,Review,Helpful
Jahid,5,All is good,6 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Loudspeaker 20w, smart features, picture qulity good",
Amazon Customer,5,Very good tv by redmi,15 January 2022,Pattern name: 2K Android SeriesSize name: 43 inches,The picture clarity is very good and all hd videos are played with bright colours without saturation.overall happy with the product,One person found this helpful
Atul,3,Picture quality is not bad.,21 November 2021,Pattern name: 2K Android SeriesSize name: 32 inches,Picture quality is normal but blink white line in the upper side screen.,One person found this helpful
sandip,4,Good,7 September 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Like,
Enuganti Venu,5,Good,23 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good,
Amazon Customer,5,Meet my expectations.,22 February 2022,Pattern name: 4K Android SeriesSize name: 50 inches,After using one month I can say that best in everything.,One person found this helpful
Girinath,5,Worth for the price,6 June 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"-Picture quality is good and decent-Sound quality is best in closed rooms- seamless android interface- just a tap to cast- good connectivity, wifi and Bluetooth (even at low internet speed able to stream without buffering)- can able to connect with Bluetooth headset and play the audio- with Android 10 we can able to install all leading stream apps including Apple TV",5 people found this helpful
Chandan singh,1,You will face harassement if u buy this. Like me,21 June 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,3 people found this helpful
Amazon Customer,5,ANDROID SYSTEM IF SLOW,22 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,ALL IS GOOD BUT DUE TO MEMORY LOW IT IS SLOW,One person found this helpful
Satyam Singh,5,Great,21 March 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Good tv.,
Prasad,5,"Best TV, Totally value for money Android",4 April 2022,Pattern name: 4K Android SeriesSize name: 50 inches,,One person found this helpful
Lalita rajesh Asalkar,5,Value for money 👍👍👍👍,31 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
AAN,2,Average product,22 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"It’s an average product. Applications lags often. Can’t expect much at this price point. Picture quality and sound are decent. One of the most annoying thing is we Can’t adjust the brightness while watching a video. We need to exit the application first, then go to settings to adjust the brightness. Overall a decent average product.",One person found this helpful
Sumeet,1,dont buy Chinese TVs,22 July 2022,Pattern name: 4K Android SeriesSize name: 55 inches,"dont buy Chinese TVs , Their life is just max one year or 2 year , this is my second TV , which Screen has started flickering after one year of usage.  Please guys spend 4-5K extra and Buy LG,Penasonic, Samsung or SONY, but dont fall in trap of cheap Chinese products .",One person found this helpful
Davids rajkumar,4,Out put audio,6 September 2021,Pattern name: 4K Android SeriesSize name: 65 inches,Like,
Ravi yadav,1,"It's is very poor quality tv at this price ,which is not worthble",13 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Very poor quality tv..,One person found this helpful
Biju G.,5,Good,4 March 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Its good. Sound and picture quality is ok,
Amazon Customer,5,Super,14 March 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Picture quality is good,
Sankar Lal,5,Redmi X43 awesome and I like the product.,1 March 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Amazon customer care service .very nice and coprative,
amit goyal,3,Mi tv 32 inch,31 October 2021,Pattern name: 2K Android SeriesSize name: 32 inches,This is a good product of mi 32 inch led tvThank you to amazon,One person found this helpful
Deepak shroff,5,Good at this price range,6 March 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"Meets expectations,  sound quality is good",
Arun,1,Good Picture Quality which is not backed up by stable operating system,8 October 2021,Pattern name: 2K Android SeriesSize name: 43 inches,"Pros:1. Good Picture Quality for a Full HD tv.2. Has a very good brightness level.3. Mi provided on-time Installation service at the place of my residence. They even provide with additional warranty for some extra bugs. Thus I believe, the after sale service would be good.Cons:1. Very bad experience with PatchWall. Lags like hell and is too hard to navigate between pages within PatchWall. I had to force stop it and never use it.2. Even Android is pretty laggy. I am not sure whether the issue is with the TV or with the Applications as they are not optimized properly to run in this tv. For Example, Netflix runs smooth whereas App like Hotstar lags a little and Zee5 makes our life miserable.Its your call as there are lots of TV available at this price range. My only reason to go for this TV was the after sale service provided by MI which I hope will be good when compared to other Budget TV Brands who doesn't even have service centres in my city.Edit 2 :After 2 Months of usage, the TV lags a lot. At times, it completely stops working , I will have to switch it off and turn it back on to get it working. If you are going for this TV for the Smart Features just forget it. This is very bad.",
gopinath,2,Kindly don't buy this TV,28 November 2021,Pattern name: 2K Android SeriesSize name: 43 inches,"I bought this TV on 10th of October. And I started to facing wifi connectivity issue. I raised a complaint technician reached and said that there is some issue with board I will arrange for replacement.. Almost 40days gone. No proper reply from Redmi service center.. When I check with Customer support. They keep on saying that will sort out the issue with in 2 working days.. But no action has been taken.. So, please don't buy this product..",One person found this helpful
vinod,5,"Value for money,nice brightness,nice viewing angle,nice contrast ratio,full cinemetic experience",28 April 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"This is called a complete package,why people give negative comment i dont know,price is justified to tv.i got tv 31000 with sbi credit card emi,tv is awesome,volume is loud,brightness is best dont go with wrong reviewer,i dont know about pannal but viwing angle is very much decent,you will happy with this product.if it is samsung or sony brand than the cost is more than 50000,everything is latest in this tv.",3 people found this helpful
Rohit Date,5,Best Quality Product,12 October 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"This product is very best, picture quality and sound quality is outstanding; Android supporting apps very properly.But one single problem is that the installation service takes more than 8 days after taking delivery of the product.",
Nirmal,5,Excellent tv,27 February 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Don't look at negative review just go for it,One person found this helpful
saurav garg,4,It is value for money you pay,26 June 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Sound and picture quality is good but some times it go slow,
sudhindra,1,Display defective,7 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,,2 people found this helpful
P venkat,5,Remote,28 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Remote is not working pl replace the remote,
Amazon Customer,3,Not good,27 August 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"TV and Mobile both are redme still miracast not working properly, automatically it's disconnecting in few minutes every time.  This is a very big issue with this TV.",
Nandu kumar yadav,5,Nice product 😊👍,19 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
abhijeet umakant gadge,5,fabulous,19 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
Amazon Customer,4,Good at this range,20 July 2021,Pattern name: 4K Android SeriesSize name: 55 inches,"Picture & sound quality fine ,yes value for money",
Shashidhar N G,5,Good product,16 March 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Value for money,
ARVIND KUMAR AGARWAL,5,IT WAS A GOOD AND USEFUL BUY,30 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,IT WAS A GOOD AND USEFUL BUY. THE ENTIRE FAMILY IS ENJOYING THE PROGRAMS ON THIS TV.,One person found this helpful
Bhola pal,5,Very nice,19 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Very good,
MOHAMMAD TAQUI MOHAMMAD SHARIF,5,Best and good,9 March 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Amazing pictures qaulity Cristal sound,
charanjeet Singh,5,Value for money....,18 March 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Fine product.....,
sathasivam,3,Voice speaker  issue,10 November 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"Audio quality is very poor, voices are not clear. Later Bought sound bar.",One person found this helpful
saju emmanuel,1,Not good,8 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,One person found this helpful
Hariom Saini,5,"All good... but they should also gave a mount stand, I had to purchased it alongside...",10 August 2021,Pattern name: 4K Android SeriesSize name: 55 inches,"Before buying it, I have searched a lot... and I found it better from others...The Redmi TV Operating System is the best in the Android TV OS like the Oxygen OS in Android Smartphones....So before buying other brands TV also checked their OS reviews along side their hardware...",
Utkarsh,3,Quality wise good product but i am facing some software issues in this Redmi 32 inch tv...,1 November 2021,Pattern name: 2K Android SeriesSize name: 32 inches,,7 people found this helpful
Anil Singh,5,Best Smart TV,6 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Best Smart TV in the price range.,2 people found this helpful
R.SATHYABALU,5,Value for money,9 January 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Picture quality is better.. but Slightly lower than other brands which are almost twice the price.. so worth for the money paid..,One person found this helpful
Amazon Customer,3,Facing some problem,21 October 2021,Pattern name: 4K Android SeriesSize name: 55 inches,,
Shambhu Nath Mondal,2,Very poor in quality,18 April 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Picture quality is very low, specifically in dth connection, sound quality is also of the same. Very disappointed.",
Placeholder,5,Quality was OK.,5 March 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Pranav,5,Just great and go for it,28 January 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Really amazing picture quality and sound quality... For the price it's best in the segment... Loving it,One person found this helpful
SatyaBrata Das,3,Ose of Tata sky box News chanals Ankers face is not cleared.face not zooming,13 December 2021,Pattern name: 2K Android SeriesSize name: 32 inches,Face is not clearing on ancars,
sanjay saini,3,It's ok but not good,24 December 2021,Pattern name: 2K Android SeriesSize name: 32 inches,Not bad it's ok,One person found this helpful
Shreya Das,5,Awesome product,7 April 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
munaf khan pathan,5,Superb quality,17 March 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Superb quality,
Ajay Kumar thakur,5,Nice TV,28 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,I like this tv 1 small prblm starting some time other wise good Feutcher tv smaal price,One person found this helpful
JITHINSHA,5,Very much recommended,31 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Am using since one week. Functionalities are awesome. Good picture quality and sound. Highly recommended.,
SANTHONA.GS,1,Suddenly display off and on automatically,19 September 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Disappointed,3 people found this helpful
sandesh mundhe,5,Just wow tv new model and best performance,17 March 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Kasi Raja,5,Ok for the price,11 March 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Ok for the price,
Srikanth Kondi,5,Very good I am happy,21 March 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Like,
Sattar,5,good,21 March 2022,Pattern name: 4K Android SeriesSize name: 50 inches,like,
Narender Kumar,1,Please avoid this tv,25 June 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Smart features are just normal. Smart features start loading late and make all system slow to respond. Picture remains blackish even after setting of brightness and contrast. Picture quality is good. Voice recognition is below average.Customer care is even bad. No seriousness about issues solving.Even I wish that this particular piece got burned or any other permanent shut down because I can't enjoy this any more but can't throw away.Hey god... Why I buy this product,
PRAMOD VAIDYA,4,Value for money deal.,19 July 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Generally very good picture quality. Sound quality needs improvement.,
Rags,5,Best android tv,26 November 2021,Pattern name: 2K Android SeriesSize name: 32 inches,"Been using this for a month. Good picture quality, excellent sound, nice features, Google Play with voice works fine. Happy to have this one in my family. Thanks Amazon and Redmi",One person found this helpful
Mallikarjuna.P,3,Vary Slow for applications,31 October 2021,Pattern name: 2K Android SeriesSize name: 32 inches,"Application opening slowcasting the phone, laptops vary slowUndoubtedly the youtube app crashing",One person found this helpful
MANOJ KUMAR,1,Horrible return policy,15 July 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Milan,3,Sound issue while connecting to HDMI set top box,26 October 2021,Pattern name: 2K Android SeriesSize name: 32 inches,I faced sound issue while turning on the tv and connected to set top box.,2 people found this helpful
Amazon Customer,2,Picture quality as not as expected,25 May 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Picture quality is not good,
Venkatrao Katta,5,Redmi X55,20 March 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Very good,
Gaurav,5,Wow!,30 August 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"Picture quality is amazing, some kind of image enhancement gives special boost to old movies n videos on ytube n other platforms, sound quality is equally good, though a little low as nearly volume of 50 level is required, but sound clearity, bass and sharpness is good. Overall wow experience.",
Ravi kiran Reddy,1,Worst experience. Don't buy from Amazon,25 August 2022,Pattern name: 2K Android SeriesSize name: 43 inches,"No installation of the TV. No support from Amazon. worst experience, No update from Redmi",One person found this helpful
mayur,5,Best TV for small family... Good volume,24 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,It's price 13500. Very good tv. Go for this product,
G. Nagarjuna,4,Good product,25 August 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Good product,
Dilip Bidher,5,Good,13 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good led tv,
Babu,4,Not satisfied,20 May 2021,Pattern name: 4K Android SeriesSize name: 55 inches,Frequently TV gets hangs..... From the day of installation it's same.... Please rectify the same.....,
subbu,3,android os version 11,29 November 2021,Pattern name: 2K Android SeriesSize name: 43 inches,"android os version 11 is not good, it's vary",
mukesh kumar,5,Value for money,7 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Review after 1monthLatest Android 11Fast access appsBest picture qualitySuperb sounds qualityDolby Atmos & Dolby digital best experience,2 people found this helpful
Dipen,5,Price compatible product with offers,3 February 2022,Pattern name: 4K Android SeriesSize name: 55 inches,The product is AWESOME with the price offer with discounts and credit card offer.,
Harsh Joshi,5,It is very good Product.Main thing is it is produced in India,3 February 2022,Pattern name: 4K Android SeriesSize name: 50 inches,I am satisfied with the product.It's amazing. It's video quality is the best.,
Karan Vaghela,4,Value of money,18 August 2021,Pattern name: 4K Android SeriesSize name: 50 inches,VALUE OF MONEY,
tamil arasan,4,Tv body fit finish  poor quality,23 June 2021,Pattern name: 4K Android SeriesSize name: 50 inches,,
ravi,1,Be careful with it,15 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Screen is very delicate. Please be careful. It is easily broken and the cost of screen is same as tv.,
Manoj Kumar,4,Redmi worthfull for money,27 July 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Picture quality and sound quality good.,
Mohit kumar,5,very very fine smart TV and very easy to use by functionaly,12 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,I am very happy after get this smart TV . very nice.,One person found this helpful
Anshu gupta,5,Best quality in led tv,4 January 2022,Pattern name: 2K Android SeriesSize name: 43 inches,,
Anand Pise,5,Very good product,28 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Okay with this product.. nice product .. picture quality is assome.. vice recoinition is good 👍,One person found this helpful
M.Ravi,5,Marvelous,19 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good,
Joey,5,Good,14 March 2022,Pattern name: 4K Android SeriesSize name: 50 inches,,
Mano,5,Really a Smart TV,17 August 2021,Pattern name: 4K Android SeriesSize name: 65 inches,"i. Works with 4TB HDD (4K Content works well) ii. 5.1 Audio via HDMI ARC (Dts, Dolby Checked)iii. No Over Heativ. Dolby Vision & HDR is Awesome v. Brightness is Goodvi. 4K in OTT, YouTube also Good  Price is High",
Debadutta Das,3,Nice,16 December 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Satisfied very much,
Subham Ghosh,4,Awesome,17 August 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Value for money,
Manpreet singh,5,Super.price good,20 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,👍🏻✌🏻,One person found this helpful
Dilip,4,Look for alternate.,24 May 2021,Pattern name: 4K Android SeriesSize name: 55 inches,Picture quality is good but sound quality is average. In general it is good with the prize.,
muralikrish,5,Very nice product,14 March 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
furqan ALI,5,Best quality,10 March 2022,Pattern name: 4K Android SeriesSize name: 43 inches,I like it,
DeepakKP,5,excellent deal. excellent product,28 January 2022,Pattern name: 4K Android SeriesSize name: 50 inches,got it for 27500 including bank offer and discount coupon on republic day sale. excellent product,One person found this helpful
Teju Goswami,5,Good products 👍,27 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,very nice and looks very nice too,One person found this helpful
Lakshya Chauhan,5,Bhai aisi mazedaar tv ek dum shaandar 55 inch aur 4k ka poora maza mauj krdi🔥🔥🔥🔥🔥🔥,25 January 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Bhai main toh kehta hu sab log yahi tv lelo saare features aur display bhi accha,
Yogesh Thainua,1,damaged display,29 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
Ravi saini,5,"I am very satisfy from this product, awasome quality",27 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Very awasome product i am very satisfied,One person found this helpful
Aniket Shirsathh,5,Better than the best TV,30 December 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Totally value for money Android TV with loaded features and user-friendly interface. We are just loving the performances every day. Thanks Amazon 😊..,
chintan,4,Good buy,6 June 2021,Pattern name: 4K Android SeriesSize name: 50 inches,At this price point picture quality is just awesomeSound is good enoughWorth it,2 people found this helpful
ankit,5,Good quality tv in budget,8 December 2021,Pattern name: 2K Android SeriesSize name: 43 inches,,One person found this helpful
Mani T.K,2,Picture quality is very poor,27 September 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"I received the TV and got it installed it by the TV Company. After installation, Noticed that the picture quality is very poor. But the installation technicians immediately vanished from the scene. The very next day, the TV became silent on HDMI2. I changed set top box to HDMI3 and sound returned. After few hours, sound went off from HDMI3 also.  Complained to Amazon and they took it back. Now waiting for replacement/refund.There is no HDMI cable  or the Wall mount or a user manual supplied. Not good for the money spent.",16 people found this helpful
Rakesh,5,Awesome,13 September 2021,Pattern name: 4K Android SeriesSize name: 55 inches,Picture and sound quality was awesome. Sometimes tv wifi getting disconnected automatically. Need to restart to get it connected again. Happens atleast once a week. Apart from that tv is good and worth for the price.I brought it for 38999INR.,One person found this helpful
Keshava,5,Not Recommended. Do Not Buy!,27 August 2021,Pattern name: 4K Android SeriesSize name: 55 inches,"Horizontal Lines are showing up on the screen. Returned the TV once. Now, the replacement TV too has the same issue. Bought the TV only because it had android 10 & DCI P-3 colour profile. But, it’s an absolute disappointment. Do not buy this device.",3 people found this helpful
Sachin Kadam,5,Recived a damaged product..,27 February 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Received a damaged product... please look into this,4 people found this helpful
Naresh,5,Exelante,19 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Superb,One person found this helpful
Prakash,5,Nice TV,12 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Worth buying.,
Amazon Customer,5,Good smart tv .Value for money.,19 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Good picture quality and sound , Value for money",One person found this helpful
Suresh Bavri,5,Nice,12 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Best picture,
Amazon Customer,4,Value for money,2 July 2021,Pattern name: 4K Android SeriesSize name: 65 inches,"Excellent picture quality, good sound and value for money",
Srinivas,5,Very Best and Good Quality TV,7 February 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Amazon surprised with a very beautiful attractive price and Fantastic quality TV,
Justin Vincent,5,Awesome.!,13 February 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Just fabulous..!!The picture quality is just awesome..Worth buying..!,
shubham kumar,1,Wifi not working,6 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Received tv yesterday was happy to browse feature but slowly got the real picture ,wifi is getting disconnected frequently ,sometime it shows limited connect in wifi ,After reading all review i thought it will be good tv but guess what it does not deserve at this proce range ..nor bluetooth is available.,afterall heart is real chinese ,what you excpect..redmi Service is troublesome...",
Syed azeem,4,Excellent,28 August 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Excellent,
Mohammed Ali,4,Value for money,8 June 2021,Pattern name: 4K Android SeriesSize name: 65 inches,Good video quality medium sound quality but over all its value for money,2 people found this helpful
Rohit Sharma,1,Cheep product....after 10 day slow videos picture....😡😡😠,6 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,2 people found this helpful
suman giri,5,Tv very good,16 April 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
pankaj,4,Very nice,5 April 2021,Pattern name: 4K Android SeriesSize name: 65 inches,Tv is good in this price range 65 inch. Pichure quality is nice tv is good as well. Mi is doing well.,2 people found this helpful
Ranak Halder,5,Really great,11 March 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Great product,
Kathir,5,Excellent,16 March 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Excellent,
sathish,4,Ok,20 August 2021,Pattern name: 4K Android SeriesSize name: 55 inches,,
Amazon Customer,4,Superb,28 July 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Best tv in this price,
clsaini,5,"Best in all price, quality and feature",8 January 2022,Pattern name: 4K Android SeriesSize name: 50 inches,This model is a good buy in this size. Picture quality and latest features available like other reputed brand.,
Amazon Customer,2,Cheap but not best,16 October 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"Picture Quality - 3.5 - Compared to other brands the picture quality of the TV is not so good but it's fair enough to view.Sound Quality - 1 - Even the rating 1 is more, worst sound effect, No Dolby effect, Not so loud, mandatorily require additional speaker or home theatre.Remote Controller - 3 - Not user friendly it's difficult to handle the buttons.Software - 3.5 - Really good software with all the specifications in it, but again it's not user friendly compared to other brands.Overall ratings - 2.5 out of 5",
Shivam Sahu,4,Its very osm quality samart tv,10 August 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Sounds is very nice,
RAJPAL SAINI,5,Best . Everyone must buy it,7 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Best product from amazon,One person found this helpful
Nagaraj E,5,Very Good Products,8 March 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Very Good Products,
Venkadesh P,3,Good product and service,9 October 2021,Pattern name: 2K Android SeriesSize name: 32 inches,Good product but it is a 1 star power rated product. i was not aware of that.,One person found this helpful
Madan,3,Video quality is not that great,14 November 2021,Pattern name: 2K Android SeriesSize name: 32 inches,ConsPoor video qualityProsLatest AndroidSound quality is good,
Aby Thomas,4,Value for MOney,14 May 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Got the TV in the first sale itself. Picture quality is good. Sound needs some improvisation,One person found this helpful
Kindle Customer,5,Very good worth the money,19 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Been a month using it, Working well no issues",One person found this helpful
Jyothi,1,Display problem found just within 5 days of purchase,1 August 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Display screen panel appears with white spots and flickering too.. It's been just 5 days i purchased the product. Such a poor quality. I request Amazon to trade products which are genuine in quality and service,One person found this helpful
Hardik Gohil,5,Value for money,5 September 2021,Pattern name: 4K Android SeriesSize name: 50 inches,MI is the #1 TV brand of India for many reasons.And the best reason is Value For Money products.TV result is superb. 4k quality is smooth and UI is also simple.Really impressed with the build and picture quality.,
Siva,2,Very slow while using wifi features continuously.,7 April 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Very slow while using wifi features continuously.Frequently wifi will be deactivated.Need restarts regularly to set it back.,
Amazon Purchaser,5,Happy with the purchase,8 February 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Has all features, is inexpensive good quality and is made in India",
Dewank Saxena,1,Please don't buy it,17 March 2022,Pattern name: 4K Android SeriesSize name: 55 inches,"Please don't buy this.I bought this after researching a lot and by reading lot of reviews but i guess all are false claiming it to be a good tvVery next day1. Video is getting stuck.i thought its my NETFLIX problem but no. It was happening all across. It was not due to my internet connection as well2. After sometime, i can see video problem. My video is playing but i can not see graphics. Only subtitles are flowing so i know my video is playing.. Tried restating few times but didn't help.I want replacement if not refund. I know there is a glich which should be resolved soon. This is my hard earned money. I paid more than 35k for this product. Please replace my product as soon as possible. I dont need technician who will waste my time. It will just delay thingss..Please don't buy this",One person found this helpful
Vini,2,Too slow to load,22 April 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Tv is good but very slow to move from one screen to another screen,One person found this helpful
kalaiselvan,3,Miracast not working properly,18 November 2021,Pattern name: 2K Android SeriesSize name: 32 inches,Mira cast and Bluetooth not working properly ..Please don't buy,
Parthiv Pandya,2,Average quality with low budget,11 April 2021,Pattern name: 4K Android SeriesSize name: 50 inches,,61 people found this helpful
TheRaj,5,Great 65 inch TV for its price,23 April 2021,Pattern name: 4K Android SeriesSize name: 65 inches,"The picture quality and the android TV experience on the TV are both excellent. Works well with my Onkyo 5.1 home theater with ARC.Delivery and installation met the expectations.The remote could have been sturdier and less rubbery. Patchwall, which I had heard a lot about, is just ok. I prefer the regular Android TV interface that I am used to.",
Anwar husain,5,Good,13 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good,
Siddhant shenoy,2,Aftersale service of the tv is worthless,7 October 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"I bought the tv a few days ago,after which i have been trying to get in touch with the xiaomi customer  care for days for extending the warrantyof the tv as the installation service was done by amazon itself instead of xiaomi but till now not a single person has picked  up the call and even after reaching their website their chat support is the worst one possible in the market and their email service is worthless as it does not provide the solution but asks us to repeat the same steps which we already have",
Karthick kumar,5,Go for it... Worth for money,13 May 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"After 10 days of usingSound not upto mark but okay( I m using table top).Rare Wifi connection problem (2 times as of now) and after switch off/on it works again.Miracast/ screen sharing, Voice search, works good until now.After 4 months of usingEverything good untill now..Best TV to buyRating 4 to 5 stars now",
HARISH GIDWANI,5,VALUE FOR MONEY,16 February 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"EVERYTHING BEST. PICTURE QUALITY, EASY CONNECT, EASY TO OPRATE,",
Amazon Customer,4,Good,24 April 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Good tv but no option to reduce screen resolution in case you want to watch in small size,
Pankaj Malhotra,5,Best 4k UHD TV Under 40000,7 April 2021,Pattern name: 4K Android SeriesSize name: 55 inches,Bought this on 1st day of Sale.Installation was done on same day. Very Fast and Smooth.User Interface is very good and Fast.Connectivity is very good with WiFiComes with Preinstalled Apps like Netflix and Prime Video.You can Install many from PlayStorePicture Quality is Very good. Crispy Clear.Sound is also good.Over all if u looking for 4K UHD Smart Tv.Just go for it. Its a Complete Package,25 people found this helpful
Amazon Customer,5,"Full Paisa Vasool Tv ,Thanx MI",20 February 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Manoj K.,5,Comes with Android 10 but upgradable,4 February 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Simply a smart choice at the price I got it for 26 k,2 people found this helpful
jayandrandran.T,5,Awesome,5 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,We are expecting 2 gb ram 16 gb rom at this cost,One person found this helpful
S.S. PRINTERS,3,Overall performance,17 November 2021,Pattern name: 2K Android SeriesSize name: 43 inches,Picture  and voice quality not up to the mark,
tarun bansal,5,Nice,17 March 2022,Pattern name: 4K Android SeriesSize name: 55 inches,,
Mohd Talib,3,It's good,18 December 2021,Pattern name: 2K Android SeriesSize name: 32 inches,Lag issue,
Dhruv Gupta,5,Nice tv,2 December 2021,Pattern name: 4K Android SeriesSize name: 55 inches,I bought 55 inch tv in this diwali sale. I am just loving the picture quality and sound effects. It's a nice purchase I must say.,
Asma kass,5,The technician came and did not explain anything.  Just turned on the TV and left.,1 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,The product is good. The smart features is nice. Picture quality is very nice & the voice recognition is better.,
vishal jariwala,3,Connectivity issue,5 October 2021,Pattern name: 4K Android SeriesSize name: 50 inches,Sometimes TV disconnects wifi automatically and never connect again until you switch off and on the TV,One person found this helpful
Sachin Shah,3,Good TV but bad sound quality,21 June 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"Overall it is very good. But sound quality is really poor. And there are no videos or suggestions even in YouTube in how you can improve sound quality by using custom setting. When it comes to sound, it is disappointing",
P KIRAN KUMAR,5,Gud one in the lowest price REDMI TV,16 March 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,One person found this helpful
